Pas,ECinetica,EPotencial,ETotal,Temperatura
0,31.6289,-166.467,-134.838,0.494202
1,30.5214,-165.359,-134.838,0.476898
2,28.706,-163.541,-134.835,0.448532
3,26.2645,-161.091,-134.827,0.410382
4,23.3731,-158.183,-134.81,0.365205
5,20.3333,-155.118,-134.785,0.317707
6,17.5534,-152.316,-134.763,0.274272
7,15.4568,-150.206,-134.749,0.241512
8,14.3373,-149.094,-134.757,0.22402
9,14.2448,-149.02,-134.776,0.222574
10,14.9774,-149.782,-134.805,0.234022
11,16.1778,-151.012,-134.834,0.252778
12,17.4671,-152.324,-134.857,0.272923
13,18.5504,-153.416,-134.866,0.28985
14,19.2677,-154.134,-134.866,0.301058
15,19.5938,-154.459,-134.865,0.306153
16,19.6043,-154.455,-134.851,0.306317
17,19.426,-154.268,-134.842,0.303532
18,19.1924,-154.039,-134.846,0.299881
19,19.0169,-153.869,-134.852,0.297139
20,18.9869,-153.835,-134.848,0.29667
21,19.1615,-154.019,-134.858,0.299398
22,19.559,-154.419,-134.86,0.305609
23,20.1394,-155.022,-134.883,0.314678
24,20.8059,-155.703,-134.897,0.325092
25,21.4356,-156.339,-134.904,0.334932
26,21.9223,-156.83,-134.908,0.342535
27,22.207,-157.121,-134.914,0.346984
28,22.2889,-157.2,-134.912,0.348265
29,22.2197,-157.138,-134.918,0.347182
30,22.0804,-156.994,-134.914,0.345006
31,21.9463,-156.87,-134.923,0.342911
32,21.8603,-156.795,-134.935,0.341568
33,21.8429,-156.776,-134.934,0.341295
34,21.9278,-156.858,-134.93,0.342621
35,22.1763,-157.102,-134.926,0.346505
36,22.6379,-157.566,-134.928,0.353717
37,23.2861,-158.211,-134.925,0.363845
38,23.9939,-158.915,-134.921,0.374905
39,24.5815,-159.507,-134.925,0.384087
40,24.9061,-159.845,-134.938,0.389157
41,24.9359,-159.879,-134.943,0.389624
42,24.7701,-159.706,-134.936,0.387033
43,24.5909,-159.532,-134.941,0.384233
44,24.5673,-159.509,-134.942,0.383864
45,24.7647,-159.734,-134.969,0.386948
46,25.1278,-160.111,-134.983,0.392622
47,25.5412,-160.532,-134.99,0.399082
48,25.9026,-160.902,-135,0.404728
49,26.1572,-161.158,-135.001,0.408706
50,26.2886,-161.286,-134.997,0.41076
51,26.2874,-161.282,-134.994,0.41074
52,26.1277,-161.131,-135.003,0.408246
53,25.7863,-160.767,-134.981,0.402911
54,25.2866,-160.252,-134.966,0.395103
55,24.7052,-159.66,-134.955,0.386019
56,24.1327,-159.078,-134.945,0.377074
57,23.6588,-158.592,-134.933,0.369669
58,23.39,-158.305,-134.915,0.365469
59,23.4195,-158.339,-134.919,0.36593
60,23.751,-158.683,-134.932,0.371109
61,24.2782,-159.231,-134.952,0.379347
62,24.8424,-159.809,-134.967,0.388163
63,25.2914,-160.277,-134.985,0.395179
64,25.5054,-160.501,-134.996,0.398522
65,25.4318,-160.435,-135.003,0.397372
66,25.1541,-160.126,-134.972,0.393033
67,24.8932,-159.852,-134.958,0.388956
68,24.8282,-159.78,-134.952,0.387941
69,24.9136,-159.88,-134.966,0.389274
70,24.9633,-159.92,-134.957,0.390051
71,24.8538,-159.804,-134.95,0.388341
72,24.57,-159.511,-134.941,0.383906
73,24.1482,-159.091,-134.943,0.377316
74,23.6507,-158.593,-134.943,0.369542
75,23.1606,-158.087,-134.926,0.361884
76,22.7589,-157.682,-134.923,0.355608
77,22.5044,-157.414,-134.91,0.351632
78,22.4453,-157.368,-134.923,0.350707
79,22.6353,-157.572,-134.936,0.353677
80,23.1067,-158.056,-134.95,0.361042
81,23.8123,-158.771,-134.958,0.372068
82,24.6134,-159.588,-134.975,0.384584
83,25.3425,-160.323,-134.981,0.395976
84,25.8825,-160.87,-134.988,0.404414
85,26.1905,-161.182,-134.992,0.409226
86,26.2692,-161.265,-134.996,0.410457
87,26.1371,-161.126,-134.989,0.408392
88,25.8226,-160.809,-134.986,0.403478
89,25.3756,-160.374,-134.999,0.396493
90,24.884,-159.892,-135.008,0.388813
91,24.4856,-159.506,-135.02,0.382588
92,24.3315,-159.352,-135.021,0.38018
93,24.4955,-159.51,-135.015,0.382743
94,24.913,-159.933,-135.02,0.389266
95,25.4219,-160.452,-135.03,0.397218
96,25.8611,-160.896,-135.035,0.404079
97,26.1422,-161.165,-135.023,0.408471
98,26.2619,-161.28,-135.018,0.410342
99,26.262,-161.294,-135.032,0.410343
